Course Title,Provider,Type,Course URL,Ratings,No of Reviews,Professional Certified,Skill Set,Duration
AI Agents and Agentic AI in Python: Powered by Generative AI,Vanderbilt University,SPECIALIZATION,https://www.coursera.org/specializations/ai-agents-python,N/A,N/A,Yes,N/A,4 weeks to complete
Setup Python,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/setup-python,N/A,N/A,Yes,N/A,2 hours
Python Generators,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/python-generators,N/A,N/A,Yes,N/A,1 hour
Python Pyramid - Beginners,EDUCBA,COURSE,https://www.coursera.org/learn/python-pyramid-beginners,N/A,N/A,Yes,N/A,1 week to complete
Decryption with Python,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/decryption-with-python,N/A,N/A,Yes,N/A,1.25 hours
Python Decorator Functions,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/python-decorator-functions,N/A,N/A,Yes,N/A,1 hour
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Shiny for Python Ultimate - Web Development with Python,Packt,COURSE,https://www.coursera.org/learn/packt-shiny-for-python-ultimate-web-development-with-python-86fsq,N/A,N/A,Yes,N/A,6 hours to complete
Python Case Study - Cryptography,EDUCBA,COURSE,https://www.coursera.org/learn/python-case-study-cryptography,N/A,N/A,Yes,N/A,8 hours to complete
Python Scripting for DevOps,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/python-scripting-devops,N/A,N/A,Yes,N/A,4 weeks to complete
Applied Python Data Engineering,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/python-data-engineering,N/A,N/A,Yes,N/A,at 10 hours a week
Python Scripting for DevOps,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/python-scripting-for-devops,N/A,N/A,Yes,N/A,2 hours
Data Analytics with Python,Simplilearn,COURSE,https://www.coursera.org/learn/data-analytics-with-python,N/A,N/A,Yes,N/A,4 hours to complete
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Exception Handling in Python,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/exception-handling-in-python,N/A,N/A,Yes,N/A,1 hour 15 minutes
Data Visualization with Python,Duke University,COURSE,https://www.coursera.org/learn/data-visualization-python,N/A,N/A,Yes,N/A,9 hours to complete
Data Mining in Python,University of Michigan,COURSE,https://www.coursera.org/learn/data-mining-in-python,N/A,N/A,Yes,N/A,5 weeks to complete
Estruturas de dados Python,University of Michigan,COURSE,https://www.coursera.org/learn/python-data-pt,N/A,N/A,Yes,N/A,2 weeks to complete
Select Topics in Python,Codio,SPECIALIZATION,https://www.coursera.org/specializations/codio-select-topics-python,N/A,N/A,Yes,N/A,4 weeks to complete
Go for Python Developers,Codio,COURSE,https://www.coursera.org/learn/codio-go-golang-for-python-developers,N/A,N/A,Yes,N/A,1 week to complete
Python and Statistics Foundations,Edureka,COURSE,https://www.coursera.org/learn/python-and-statistics-foundations,N/A,N/A,Yes,N/A,1 week to complete
Data Analysis in Python,Codio,COURSE,https://www.coursera.org/learn/codio-data-analysis-in-python,N/A,N/A,Yes,N/A,2 weeks to complete
Python GUI Development with PyQt,EDUCBA,SPECIALIZATION,https://www.coursera.org/specializations/python-gui-development-with-pyqt,N/A,N/A,Yes,N/A,4 weeks to complete
Mastering Recommendation Systems with Python,EDUCBA,SPECIALIZATION,https://www.coursera.org/specializations/mastering-recommendation-systems-with-python,N/A,N/A,Yes,N/A,4 weeks to complete
Data Visualization Fundamentals in Python,University of Pittsburgh,COURSE,https://www.coursera.org/learn/data-visualization-fundamentals-in-python,N/A,N/A,Yes,N/A,2 weeks to complete
Python Case Study - Sentiment Analysis,EDUCBA,COURSE,https://www.coursera.org/learn/python-case-study-sentiment-analysis,N/A,N/A,Yes,N/A,2 hours to complete
Dataflow: Qwik Start - Python,Google Cloud,PROJECT,https://www.coursera.org/projects/googlecloud-dataflow-qwik-start-python-cwldm,N/A,N/A,Yes,N/A,"Learn, practice, and apply job-ready skills in less than 2 hours"
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,https://www.coursera.org/specializations/python-espanol,N/A,N/A,Yes,N/A,4 weeks to complete
BiteSize Python: Data Visualization,University of Colorado Boulder,COURSE,https://www.coursera.org/learn/bitesize-python-for-intermediate-learners-data-visualization,N/A,N/A,Yes,N/A,2 weeks to complete
Predictive Modeling with Python,Edureka,COURSE,https://www.coursera.org/learn/predictive-modeling-with-python,N/A,N/A,Yes,N/A,2 weeks to complete
Python for Beginners: Data Structures,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/python-for-beginners-data-structures,N/A,N/A,Yes,N/A,2 hours
